reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;SVM_IDX;SVM_IDX_KLiquid;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;1;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;2;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;3;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;4;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;5;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;6;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquid;7;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;1;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;2;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;3;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;4;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;5;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;6;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLiquidFreq;7;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KAverageGas;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;1;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;2;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;3;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;4;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;5;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;6;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGas;7;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGasFreq;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGasFreq;1;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGasFreq;2;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGasFreq;3;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KGasFreq;4;RO;RW;RW;RW
